,run,epoch,loss ,accuracy,epoch_duration,run_duration,lr,batch_size,shuffle,num_workers
0,1,1,2.155081641674042,0.1713,8.385001182556152,10.478458166122437,0.01,1000,True,1
1,1,1,2.155081641674042,0.1713,8.385001182556152,10.478458166122437,0.01,1000,True,1
2,1,1,2.155081641674042,0.1713,8.385001182556152,10.478458166122437,0.01,1000,True,1
3,1,1,2.155081641674042,0.1713,8.385001182556152,10.478458166122437,0.01,1000,True,1
4,1,2,1.8813273519277574,0.27065,8.068692445755005,18.813920497894287,0.01,1000,True,1
5,1,2,1.8813273519277574,0.27065,8.068692445755005,18.813920497894287,0.01,1000,True,1
6,1,2,1.8813273519277574,0.27065,8.068692445755005,18.813920497894287,0.01,1000,True,1
7,1,2,1.8813273519277574,0.27065,8.068692445755005,18.813920497894287,0.01,1000,True,1
8,1,3,1.7278132438659668,0.331775,8.09001874923706,27.148449897766113,0.01,1000,True,1
9,1,3,1.7278132438659668,0.331775,8.09001874923706,27.148449897766113,0.01,1000,True,1
10,1,3,1.7278132438659668,0.331775,8.09001874923706,27.148449897766113,0.01,1000,True,1
11,1,3,1.7278132438659668,0.331775,8.09001874923706,27.148449897766113,0.01,1000,True,1
12,1,4,1.6478072822093963,0.377275,8.14215874671936,35.42787170410156,0.01,1000,True,1
13,1,4,1.6478072822093963,0.377275,8.14215874671936,35.42787170410156,0.01,1000,True,1
14,1,4,1.6478072822093963,0.377275,8.14215874671936,35.42787170410156,0.01,1000,True,1
15,1,4,1.6478072822093963,0.377275,8.14215874671936,35.42787170410156,0.01,1000,True,1
16,1,5,1.599140504002571,0.401,7.918178558349609,43.6125967502594,0.01,1000,True,1
17,1,5,1.599140504002571,0.401,7.918178558349609,43.6125967502594,0.01,1000,True,1
18,1,5,1.599140504002571,0.401,7.918178558349609,43.6125967502594,0.01,1000,True,1
19,1,5,1.599140504002571,0.401,7.918178558349609,43.6125967502594,0.01,1000,True,1
20,1,6,1.5241331189870835,0.444475,7.95654559135437,51.70490789413452,0.01,1000,True,1
21,1,6,1.5241331189870835,0.444475,7.95654559135437,51.70490789413452,0.01,1000,True,1
22,1,6,1.5241331189870835,0.444475,7.95654559135437,51.70490789413452,0.01,1000,True,1
23,1,6,1.5241331189870835,0.444475,7.95654559135437,51.70490789413452,0.01,1000,True,1
24,1,7,1.4778019517660141,0.45905,8.011213302612305,59.99304509162903,0.01,1000,True,1
25,1,7,1.4778019517660141,0.45905,8.011213302612305,59.99304509162903,0.01,1000,True,1
26,1,7,1.4778019517660141,0.45905,8.011213302612305,59.99304509162903,0.01,1000,True,1
27,1,7,1.4778019517660141,0.45905,8.011213302612305,59.99304509162903,0.01,1000,True,1
28,1,8,1.4301936447620391,0.482775,8.09349274635315,68.3446774482727,0.01,1000,True,1
29,1,8,1.4301936447620391,0.482775,8.09349274635315,68.3446774482727,0.01,1000,True,1
30,1,8,1.4301936447620391,0.482775,8.09349274635315,68.3446774482727,0.01,1000,True,1
31,1,8,1.4301936447620391,0.482775,8.09349274635315,68.3446774482727,0.01,1000,True,1
32,1,9,1.3947406947612762,0.50195,7.764077425003052,76.38324975967407,0.01,1000,True,1
33,1,9,1.3947406947612762,0.50195,7.764077425003052,76.38324975967407,0.01,1000,True,1
34,1,9,1.3947406947612762,0.50195,7.764077425003052,76.38324975967407,0.01,1000,True,1
35,1,9,1.3947406947612762,0.50195,7.764077425003052,76.38324975967407,0.01,1000,True,1
36,1,10,1.3768935680389405,0.5114,8.011232852935791,84.62146592140198,0.01,1000,True,1
37,1,10,1.3768935680389405,0.5114,8.011232852935791,84.62146592140198,0.01,1000,True,1
38,1,10,1.3768935680389405,0.5114,8.011232852935791,84.62146592140198,0.01,1000,True,1
39,1,10,1.3768935680389405,0.5114,8.011232852935791,84.62146592140198,0.01,1000,True,1
40,1,11,1.358490738272667,0.5202,7.949151039123535,92.74330234527588,0.01,1000,True,1
41,1,11,1.358490738272667,0.5202,7.949151039123535,92.74330234527588,0.01,1000,True,1
42,1,11,1.358490738272667,0.5202,7.949151039123535,92.74330234527588,0.01,1000,True,1
43,1,11,1.358490738272667,0.5202,7.949151039123535,92.74330234527588,0.01,1000,True,1
44,1,12,1.3251145005226135,0.532925,7.8517374992370605,100.73767685890198,0.01,1000,True,1
45,1,12,1.3251145005226135,0.532925,7.8517374992370605,100.73767685890198,0.01,1000,True,1
46,1,12,1.3251145005226135,0.532925,7.8517374992370605,100.73767685890198,0.01,1000,True,1
47,1,12,1.3251145005226135,0.532925,7.8517374992370605,100.73767685890198,0.01,1000,True,1
48,1,13,1.3101236313581466,0.540275,7.941802024841309,108.92587661743164,0.01,1000,True,1
49,1,13,1.3101236313581466,0.540275,7.941802024841309,108.92587661743164,0.01,1000,True,1
50,1,13,1.3101236313581466,0.540275,7.941802024841309,108.92587661743164,0.01,1000,True,1
51,1,13,1.3101236313581466,0.540275,7.941802024841309,108.92587661743164,0.01,1000,True,1
52,1,14,1.2946847587823869,0.5492,7.904389142990112,117.08511734008789,0.01,1000,True,1
53,1,14,1.2946847587823869,0.5492,7.904389142990112,117.08511734008789,0.01,1000,True,1
54,1,14,1.2946847587823869,0.5492,7.904389142990112,117.08511734008789,0.01,1000,True,1
55,1,14,1.2946847587823869,0.5492,7.904389142990112,117.08511734008789,0.01,1000,True,1
56,1,15,1.283041861653328,0.5543,7.943928241729736,125.16456651687622,0.01,1000,True,1
57,1,15,1.283041861653328,0.5543,7.943928241729736,125.16456651687622,0.01,1000,True,1
58,1,15,1.283041861653328,0.5543,7.943928241729736,125.16456651687622,0.01,1000,True,1
59,1,15,1.283041861653328,0.5543,7.943928241729736,125.16456651687622,0.01,1000,True,1
60,1,16,1.2709823429584504,0.5591,7.924645662307739,133.37089037895203,0.01,1000,True,1
61,1,16,1.2709823429584504,0.5591,7.924645662307739,133.37089037895203,0.01,1000,True,1
62,1,16,1.2709823429584504,0.5591,7.924645662307739,133.37089037895203,0.01,1000,True,1
63,1,16,1.2709823429584504,0.5591,7.924645662307739,133.37089037895203,0.01,1000,True,1
64,1,17,1.2459578603506087,0.56825,7.9109601974487305,141.40900444984436,0.01,1000,True,1
65,1,17,1.2459578603506087,0.56825,7.9109601974487305,141.40900444984436,0.01,1000,True,1
66,1,17,1.2459578603506087,0.56825,7.9109601974487305,141.40900444984436,0.01,1000,True,1
67,1,17,1.2459578603506087,0.56825,7.9109601974487305,141.40900444984436,0.01,1000,True,1
68,1,18,1.250647097826004,0.5701,7.8584980964660645,149.50004720687866,0.01,1000,True,1
69,1,18,1.250647097826004,0.5701,7.8584980964660645,149.50004720687866,0.01,1000,True,1
70,1,18,1.250647097826004,0.5701,7.8584980964660645,149.50004720687866,0.01,1000,True,1
71,1,18,1.250647097826004,0.5701,7.8584980964660645,149.50004720687866,0.01,1000,True,1
72,1,19,1.2408996939659118,0.5716,7.927457094192505,157.80883717536926,0.01,1000,True,1
73,1,19,1.2408996939659118,0.5716,7.927457094192505,157.80883717536926,0.01,1000,True,1
74,1,19,1.2408996939659118,0.5716,7.927457094192505,157.80883717536926,0.01,1000,True,1
75,1,19,1.2408996939659118,0.5716,7.927457094192505,157.80883717536926,0.01,1000,True,1
76,1,20,1.2321388989686965,0.579375,8.287067174911499,166.49705624580383,0.01,1000,True,1
77,1,20,1.2321388989686965,0.579375,8.287067174911499,166.49705624580383,0.01,1000,True,1
78,1,20,1.2321388989686965,0.579375,8.287067174911499,166.49705624580383,0.01,1000,True,1
79,1,20,1.2321388989686965,0.579375,8.287067174911499,166.49705624580383,0.01,1000,True,1
80,1,21,1.2327387511730195,0.576,8.234321355819702,175.00831532478333,0.01,1000,True,1
81,1,21,1.2327387511730195,0.576,8.234321355819702,175.00831532478333,0.01,1000,True,1
82,1,21,1.2327387511730195,0.576,8.234321355819702,175.00831532478333,0.01,1000,True,1
83,1,21,1.2327387511730195,0.576,8.234321355819702,175.00831532478333,0.01,1000,True,1
84,1,22,1.2103864908218385,0.58415,7.852890253067017,183.05729055404663,0.01,1000,True,1
85,1,22,1.2103864908218385,0.58415,7.852890253067017,183.05729055404663,0.01,1000,True,1
86,1,22,1.2103864908218385,0.58415,7.852890253067017,183.05729055404663,0.01,1000,True,1
87,1,22,1.2103864908218385,0.58415,7.852890253067017,183.05729055404663,0.01,1000,True,1
88,1,23,1.196798813343048,0.59095,8.017505884170532,191.36634135246277,0.01,1000,True,1
89,1,23,1.196798813343048,0.59095,8.017505884170532,191.36634135246277,0.01,1000,True,1
90,1,23,1.196798813343048,0.59095,8.017505884170532,191.36634135246277,0.01,1000,True,1
91,1,23,1.196798813343048,0.59095,8.017505884170532,191.36634135246277,0.01,1000,True,1
92,1,24,1.2057715058326721,0.590775,8.07429814338684,199.68996953964233,0.01,1000,True,1
93,1,24,1.2057715058326721,0.590775,8.07429814338684,199.68996953964233,0.01,1000,True,1
94,1,24,1.2057715058326721,0.590775,8.07429814338684,199.68996953964233,0.01,1000,True,1
95,1,24,1.2057715058326721,0.590775,8.07429814338684,199.68996953964233,0.01,1000,True,1
96,1,25,1.2038126289844513,0.589225,8.026752710342407,207.9858844280243,0.01,1000,True,1
97,1,25,1.2038126289844513,0.589225,8.026752710342407,207.9858844280243,0.01,1000,True,1
98,1,25,1.2038126289844513,0.589225,8.026752710342407,207.9858844280243,0.01,1000,True,1
99,1,25,1.2038126289844513,0.589225,8.026752710342407,207.9858844280243,0.01,1000,True,1
100,1,26,1.1994908541440963,0.59165,8.139502763748169,216.36382508277893,0.01,1000,True,1
101,1,26,1.1994908541440963,0.59165,8.139502763748169,216.36382508277893,0.01,1000,True,1
102,1,26,1.1994908541440963,0.59165,8.139502763748169,216.36382508277893,0.01,1000,True,1
103,1,26,1.1994908541440963,0.59165,8.139502763748169,216.36382508277893,0.01,1000,True,1
104,1,27,1.1988192439079284,0.59375,7.901155948638916,224.53972935676575,0.01,1000,True,1
105,1,27,1.1988192439079284,0.59375,7.901155948638916,224.53972935676575,0.01,1000,True,1
106,1,27,1.1988192439079284,0.59375,7.901155948638916,224.53972935676575,0.01,1000,True,1
107,1,27,1.1988192439079284,0.59375,7.901155948638916,224.53972935676575,0.01,1000,True,1
108,1,28,1.1844946563243866,0.596925,8.110335350036621,232.9262411594391,0.01,1000,True,1
109,1,28,1.1844946563243866,0.596925,8.110335350036621,232.9262411594391,0.01,1000,True,1
110,1,28,1.1844946563243866,0.596925,8.110335350036621,232.9262411594391,0.01,1000,True,1
111,1,28,1.1844946563243866,0.596925,8.110335350036621,232.9262411594391,0.01,1000,True,1
